cenario;modelo;X0_g_L;S0_g_L;P0_g_L;tf_h;X_final_g_L;S_final_g_L;P_final_g_L;Sconsumido_g_L;Pproduzido_g_L;Yps_aparente_g_g;Qp_g_L_h
S1;monod;1,000000;75,000000;0,000000;72,000000;22,000000;0,000000;31,500000;75,000000;31,500000;0,420000;0,437500
referencia;monod;1,000000;150,000000;0,000000;72,000000;43,000000;0,000000;63,000000;150,000000;63,000000;0,420000;0,875000
S2;monod;1,000000;225,000000;0,000000;72,000000;64,000000;0,000000;94,500000;225,000000;94,500000;0,420000;1,312500
