tempo_h;X_g_L;S_g_L;P_g_L
0,000000;1,000000;75,000000;0,000000
0,050000;1,007802;74,972136;0,011703
0,100000;1,015664;74,944056;0,023496
0,150000;1,023588;74,915759;0,035381
0,200000;1,031572;74,887242;0,047358
0,250000;1,039619;74,858504;0,059428
0,300000;1,047728;74,829543;0,071592
0,350000;1,055900;74,800359;0,083849
0,400000;1,064135;74,770948;0,096202
0,450000;1,072434;74,741309;0,108650
0,500000;1,080797;74,711440;0,121195
0,550000;1,089225;74,681340;0,133837
0,600000;1,097718;74,651008;0,146577
0,650000;1,106277;74,620440;0,159415
0,700000;1,114902;74,589636;0,172353
0,750000;1,123594;74,558593;0,185391
0,800000;1,132353;74,527310;0,198530
0,850000;1,141180;74,495784;0,211771
0,900000;1,150076;74,464015;0,225114
0,950000;1,159040;74,432000;0,238560
1,000000;1,168073;74,399738;0,252110
1,050000;1,177177;74,367225;0,265765
1,100000;1,186351;74,334462;0,279526
1,150000;1,195596;74,301445;0,293393
1,200000;1,204912;74,268172;0,307368
1,250000;1,214300;74,234642;0,321450
1,300000;1,223761;74,200854;0,335641
1,350000;1,233295;74,166804;0,349942
1,400000;1,242903;74,132490;0,364354
1,450000;1,252585;74,097912;0,378877
1,500000;1,262341;74,063067;0,393512
1,550000;1,272174;74,027952;0,408260
1,600000;1,282082;73,992566;0,423122
1,650000;1,292066;73,956906;0,438099
1,700000;1,302128;73,920972;0,453192
1,750000;1,312267;73,884760;0,468401
1,800000;1,322485;73,848268;0,483728
1,850000;1,332782;73,811494;0,499172
1,900000;1,343158;73,774437;0,514736
1,950000;1,353614;73,737094;0,530421
2,000000;1,364151;73,699462;0,546226
2,050000;1,374769;73,661541;0,562153
2,100000;1,385469;73,623326;0,578203
2,150000;1,396251;73,584817;0,594377
2,200000;1,407117;73,546011;0,610675
2,250000;1,418066;73,506906;0,627099
2,300000;1,429100;73,467500;0,643650
2,350000;1,440219;73,427789;0,660328
2,400000;1,451424;73,387773;0,677135
2,450000;1,462714;73,347448;0,694072
2,500000;1,474092;73,306813;0,711139
2,550000;1,485558;73,265865;0,728337
2,600000;1,497112;73,224601;0,745668
2,650000;1,508755;73,183020;0,763132
2,700000;1,520487;73,141118;0,780730
2,750000;1,532310;73,098894;0,798465
