tempo_h;X_g_L;S_g_L;P_g_L
0,000000;0,500000;150,000000;0,000000
0,050000;0,504177;149,985082;0,006266
0,100000;0,508389;149,970040;0,012583
0,150000;0,512636;149,954871;0,018954
0,200000;0,516918;149,939577;0,025378
0,250000;0,521237;149,924155;0,031855
0,300000;0,525591;149,908603;0,038387
0,350000;0,529982;149,892923;0,044972
0,400000;0,534409;149,877111;0,051613
0,450000;0,538873;149,861167;0,058310
0,500000;0,543375;149,845091;0,065062
0,550000;0,547914;149,828880;0,071871
0,600000;0,552491;149,812533;0,078736
0,650000;0,557106;149,796051;0,085659
0,700000;0,561759;149,779431;0,092639
0,750000;0,566452;149,762672;0,099678
0,800000;0,571184;149,745773;0,106775
0,850000;0,575955;149,728733;0,113932
0,900000;0,580766;149,711551;0,121148
0,950000;0,585617;149,694226;0,128425
1,000000;0,590508;149,676756;0,135762
1,050000;0,595441;149,659141;0,143161
1,100000;0,600414;149,641378;0,150621
1,150000;0,605429;149,623467;0,158144
1,200000;0,610486;149,605407;0,165729
1,250000;0,615585;149,587196;0,173378
1,300000;0,620727;149,568833;0,181090
1,350000;0,625911;149,550316;0,188867
1,400000;0,631139;149,531646;0,196709
1,450000;0,636411;149,512819;0,204616
1,500000;0,641726;149,493836;0,212589
1,550000;0,647086;149,474694;0,220629
1,600000;0,652490;149,455392;0,228735
1,650000;0,657940;149,435930;0,236909
1,700000;0,663435;149,416305;0,245152
1,750000;0,668975;149,396516;0,253463
1,800000;0,674563;149,376562;0,261844
1,850000;0,680196;149,356442;0,270294
1,900000;0,685877;149,336154;0,278815
1,950000;0,691605;149,315697;0,287407
2,000000;0,697381;149,295069;0,296071
2,050000;0,703205;149,274269;0,304807
2,100000;0,709077;149,253295;0,313616
2,150000;0,714999;149,232147;0,322498
2,200000;0,720970;149,210822;0,331455
2,250000;0,726991;149,189319;0,340486
2,300000;0,733062;149,167637;0,349593
2,350000;0,739183;149,145774;0,358775
2,400000;0,745356;149,123729;0,368034
2,450000;0,751580;149,101500;0,377370
2,500000;0,757856;149,079085;0,386784
2,550000;0,764185;149,056484;0,396277
2,600000;0,770566;149,033694;0,405849
2,650000;0,777000;149,010714;0,415500
2,700000;0,783488;148,987542;0,425232
2,750000;0,790030;148,964177;0,435045
2,800000;0,796627;148,940618;0,444941
2,850000;0,803279;148,916862;0,454918
2,900000;0,809986;148,892908;0,464979
2,950000;0,816749;148,868754;0,475123
3,000000;0,823568;148,844398;0,485353
3,050000;0,830445;148,819840;0,495667
3,100000;0,837379;148,795077;0,506068
3,150000;0,844370;148,770107;0,516555
3,200000;0,851420;148,744929;0,527130
3,250000;0,858528;148,719542;0,537792
3,300000;0,865696;148,693942;0,548544
3,350000;0,872924;148,668130;0,559386
3,400000;0,880212;148,642102;0,570317
3,450000;0,887560;148,615857;0,581340
3,500000;0,894970;148,589393;0,592455
3,550000;0,902442;148,562708;0,603662
3,600000;0,909976;148,535802;0,614963
3,650000;0,917572;148,508671;0,626358
3,700000;0,925232;148,481314;0,637848
3,750000;0,932956;148,453728;0,649434
3,800000;0,940744;148,425913;0,661116
3,850000;0,948597;148,397867;0,672896
3,900000;0,956516;148,369586;0,684774
3,950000;0,964500;148,341070;0,696751
4,000000;0,972552;148,312316;0,708827
4,050000;0,980670;148,283322;0,721005
4,100000;0,988856;148,254087;0,733283
4,150000;0,997110;148,224609;0,745664
4,200000;1,005432;148,194884;0,758149
4,250000;1,013825;148,164912;0,770737
4,300000;1,022287;148,134690;0,783430
4,350000;1,030819;148,104217;0,796229
4,400000;1,039423;148,073489;0,809134
4,450000;1,048098;148,042506;0,822148
4,500000;1,056846;148,011264;0,835269
4,550000;1,065667;147,979762;0,848500
4,600000;1,074561;147,947998;0,861841
4,650000;1,083529;147,915969;0,875293
4,700000;1,092572;147,883673;0,888857
4,750000;1,101690;147,851108;0,902535
4,800000;1,110884;147,818272;0,916326
4,850000;1,120155;147,785162;0,930232
4,900000;1,129502;147,751777;0,944254
4,950000;1,138928;147,718114;0,958392
5,000000;1,148432;147,684170;0,972649
5,050000;1,158016;147,649943;0,987024
5,100000;1,167679;147,615432;1,001519
5,150000;1,177423;147,580633;1,016134
5,200000;1,187248;147,545544;1,030871
5,250000;1,197154;147,510164;1,045731
