tempo_h;X_g_L;S_g_L;P_g_L
6,900000;3,237687;217,008260;3,356531
6,950000;3,265339;216,909504;3,398008
7,000000;3,293226;216,809906;3,439839
7,050000;3,321351;216,709461;3,482026
7,100000;3,349715;216,608159;3,524573
7,150000;3,378321;216,505995;3,567482
7,200000;3,407171;216,402961;3,610756
7,250000;3,436266;216,299050;3,654399
7,300000;3,465609;216,194253;3,698414
7,350000;3,495202;216,088565;3,742803
7,400000;3,525047;215,981976;3,787570
7,450000;3,555146;215,874480;3,832718
7,500000;3,585501;215,766069;3,878251
7,550000;3,616114;215,656736;3,924171
7,600000;3,646988;215,546471;3,970482
7,650000;3,678125;215,435269;4,017187
7,700000;3,709527;215,323119;4,064290
7,750000;3,741196;215,210016;4,111793
7,800000;3,773134;215,095950;4,159701
7,850000;3,805344;214,980913;4,208017
7,900000;3,837829;214,864897;4,256743
7,950000;3,870590;214,747894;4,305885
8,000000;3,903629;214,629896;4,355444
8,050000;3,936950;214,510893;4,405425
8,100000;3,970554;214,390878;4,455831
8,150000;4,004444;214,269842;4,506666
8,200000;4,038622;214,147777;4,557934
8,250000;4,073091;214,024673;4,609637
8,300000;4,107854;213,900522;4,661781
8,350000;4,142912;213,775316;4,714367
8,400000;4,178268;213,649044;4,767401
8,450000;4,213924;213,521699;4,820887
8,500000;4,249884;213,393271;4,874826
8,550000;4,286150;213,263750;4,929225
8,600000;4,322724;213,133129;4,984086
8,650000;4,359609;213,001397;5,039413
8,700000;4,396808;212,868545;5,095211
8,750000;4,434322;212,734563;5,151483
8,800000;4,472156;212,599443;5,208234
8,850000;4,510311;212,463174;5,265467
8,900000;4,548791;212,325748;5,323186
8,950000;4,587597;212,187154;5,381396
9,000000;4,626733;212,047382;5,440100
9,050000;4,666202;211,906422;5,499303
9,100000;4,706006;211,764265;5,559009
9,150000;4,746148;211,620901;5,619222
9,200000;4,786631;211,476318;5,679946
9,250000;4,827458;211,330508;5,741187
9,300000;4,868631;211,183459;5,802947
9,350000;4,910155;211,035161;5,865232
9,400000;4,952031;210,885604;5,928046
9,450000;4,994262;210,734778;5,991393
9,500000;5,036852;210,582670;6,055279
9,550000;5,079804;210,429271;6,119706
9,600000;5,123121;210,274569;6,184681
9,650000;5,166805;210,118555;6,250207
9,700000;5,210860;209,961216;6,316289
9,750000;5,255288;209,802541;6,382933
9,800000;5,300094;209,642520;6,450142
9,850000;5,345281;209,481141;6,517921
9,900000;5,390850;209,318392;6,586275
9,950000;5,436806;209,154263;6,655209
10,000000;5,483152;208,988741;6,724729
10,050000;5,529892;208,821816;6,794837
10,100000;5,577027;208,653474;6,865541
10,150000;5,624563;208,483704;6,936844
10,200000;5,672502;208,312494;7,008753
10,250000;5,720847;208,139832;7,081270
10,300000;5,769602;207,965707;7,154403
10,350000;5,818771;207,790105;7,228156
10,400000;5,868356;207,613014;7,302534
10,450000;5,918362;207,434423;7,377542
10,500000;5,968791;207,254318;7,453186
10,550000;6,019648;207,072687;7,529472
10,600000;6,070935;206,889516;7,606403
10,650000;6,122658;206,704794;7,683986
10,700000;6,174818;206,518507;7,762227
10,750000;6,227420;206,330642;7,841130
10,800000;6,280468;206,141186;7,920702
10,850000;6,333965;205,950125;8,000948
10,900000;6,387915;205,757446;8,081873
10,950000;6,442322;205,563135;8,163483
11,000000;6,497190;205,367179;8,245785
11,050000;6,552522;205,169565;8,328783
11,100000;6,608322;204,970277;8,412484
11,150000;6,664595;204,769303;8,496893
11,200000;6,721344;204,566628;8,582016
11,250000;6,778574;204,362237;8,667860
11,300000;6,836287;204,156118;8,754431
11,350000;6,894489;203,948254;8,841733
11,400000;6,953183;203,738632;8,929774
11,450000;7,012374;203,527237;9,018560
11,500000;7,072065;203,314055;9,108097
11,550000;7,132261;203,099070;9,198391
11,600000;7,192965;202,882267;9,289448
11,650000;7,254183;202,663631;9,381275
11,700000;7,315919;202,443146;9,473879
11,750000;7,378176;202,220799;9,567265
11,800000;7,440960;201,996572;9,661440
11,850000;7,504274;201,770451;9,756411
11,900000;7,568123;201,542420;9,852184
11,950000;7,632511;201,312462;9,948766
12,000000;7,697442;201,080563;10,046164
12,050000;7,762923;200,846705;10,144384
12,100000;7,828955;200,610873;10,243433
12,150000;7,895546;200,373051;10,343319
12,200000;7,962698;200,133221;10,444047
12,250000;8,030417;199,891367;10,545626
12,300000;8,098708;199,647472;10,648062
12,350000;8,167575;199,401520;10,751362
12,400000;8,237022;199,153492;10,855533
12,450000;8,307055;198,903373;10,960583
12,500000;8,377679;198,651145;11,066519
12,550000;8,448899;198,396790;11,173348
12,600000;8,520719;198,140291;11,281078
