tempo_h;X_g_L;S_g_L;P_g_L
6,900000;5,193247;135,338296;6,319194
6,950000;5,256487;135,117177;6,414497
7,000000;5,320517;134,893296;6,510989
7,050000;5,385348;134,666616;6,608689
7,100000;5,450989;134,437101;6,707609
7,150000;5,517452;134,204714;6,807768
7,200000;5,584747;133,969417;6,909181
7,250000;5,652885;133,731171;7,011865
7,300000;5,721877;133,489939;7,115836
7,350000;5,791735;133,245682;7,221111
7,400000;5,862469;132,998360;7,327707
7,450000;5,934091;132,747933;7,435641
7,500000;6,006613;132,494360;7,544931
7,550000;6,080047;132,237599;7,655595
7,600000;6,154404;131,977609;7,767651
7,650000;6,229697;131,714346;7,881117
7,700000;6,305938;131,447769;7,996012
7,750000;6,383140;131,177832;8,112354
7,800000;6,461316;130,904491;8,230164
7,850000;6,540477;130,627702;8,349461
7,900000;6,620638;130,347418;8,470263
7,950000;6,701812;130,063593;8,592591
8,000000;6,784012;129,776181;8,716466
8,050000;6,867252;129,485133;8,841908
8,100000;6,951545;129,190402;8,968937
8,150000;7,036905;128,891939;9,097574
8,200000;7,123348;128,589694;9,227842
8,250000;7,210886;128,283616;9,359762
8,300000;7,299535;127,973655;9,493355
8,350000;7,389309;127,659758;9,628644
8,400000;7,480224;127,341875;9,765652
8,450000;7,572294;127,019952;9,904401
8,500000;7,665535;126,693934;10,044914
8,550000;7,759962;126,363768;10,187216
8,600000;7,855592;126,029399;10,331329
8,650000;7,952440;125,690768;10,477279
8,700000;8,050523;125,347821;10,625089
8,750000;8,149857;125,000499;10,774785
8,800000;8,250460;124,648742;10,926392
8,850000;8,352347;124,292493;11,079936
8,900000;8,455537;123,931690;11,235442
8,950000;8,560046;123,566272;11,392937
9,000000;8,665893;123,196178;11,552447
9,050000;8,773096;122,821344;11,714001
9,100000;8,881671;122,441708;11,877624
9,150000;8,991639;122,057205;12,043345
9,200000;9,103018;121,667770;12,211191
9,250000;9,215826;121,273337;12,381192
9,300000;9,330083;120,873837;12,553376
9,350000;9,445808;120,469204;12,727773
9,400000;9,563020;120,059369;12,904412
9,450000;9,681741;119,644262;13,083323
9,500000;9,801990;119,223813;13,264537
9,550000;9,923787;118,797949;13,448084
9,600000;10,047153;118,366600;13,633996
9,650000;10,172109;117,929690;13,822304
9,700000;10,298676;117,487146;14,013040
9,750000;10,426877;117,038893;14,206237
9,800000;10,556732;116,584853;14,401928
9,850000;10,688264;116,124950;14,600146
9,900000;10,821496;115,659106;14,800925
9,950000;10,956449;115,187241;15,004299
10,000000;11,093147;114,709275;15,210303
10,050000;11,231614;114,225126;15,418971
10,100000;11,371872;113,734714;15,630338
10,150000;11,513945;113,237954;15,844442
10,200000;11,657858;112,734763;16,061317
10,250000;11,803634;112,225056;16,281001
10,300000;11,951298;111,708747;16,503530
10,350000;12,100875;111,185751;16,728941
10,400000;12,252390;110,655978;16,957274
10,450000;12,405869;110,119339;17,188565
10,500000;12,561337;109,575745;17,422854
10,550000;12,718820;109,025105;17,660180
10,600000;12,878344;108,467329;17,900581
10,650000;13,039936;107,902323;18,144099
10,700000;13,203621;107,329995;18,390772
10,750000;13,369428;106,750252;18,640641
10,800000;13,537382;106,163000;18,893747
10,850000;13,707511;105,568144;19,150130
10,900000;13,879842;104,965588;19,409831
10,950000;14,054402;104,355237;19,672893
11,000000;14,231220;103,736992;19,939356
11,050000;14,410323;103,110758;20,209263
11,100000;14,591740;102,476434;20,482657
11,150000;14,775498;101,833923;20,759579
11,200000;14,961627;101,183123;21,040074
11,250000;15,150154;100,523936;21,324184
11,300000;15,341109;99,856262;21,611951
11,350000;15,534518;99,180008;21,903416
11,400000;15,730409;98,495072;22,198624
11,450000;15,928814;97,801349;22,497619
11,500000;16,129761;97,098736;22,800445
11,550000;16,333280;96,387134;23,107145
11,600000;16,539397;95,666443;23,417763
11,650000;16,748143;94,936564;23,732341
11,700000;16,959543;94,197402;24,050920
11,750000;17,173626;93,448861;24,373541
11,800000;17,390418;92,690847;24,700245
11,850000;17,609945;91,923268;25,031071
11,900000;17,832234;91,146034;25,366059
11,950000;18,057311;90,359054;25,705248
12,000000;18,285199;89,562240;26,048674
12,050000;18,515925;88,755507;26,396377
12,100000;18,749512;87,938768;26,748391
12,150000;18,985985;87,111940;27,104754
12,200000;19,225367;86,274940;27,465501
12,250000;19,467681;85,427687;27,830667
12,300000;19,712948;84,570112;28,200282
12,350000;19,961178;83,702173;28,574363
12,400000;20,212394;82,823796;28,952944
12,450000;20,466617;81,934907;29,336055
12,500000;20,723863;81,035443;29,723724
12,550000;20,984149;80,125352;30,115973
12,600000;21,247486;79,204593;30,512820
12,650000;21,513884;78,273134;30,914279
12,700000;21,783347;77,330955;31,320358
12,750000;22,055879;76,378046;31,731062
12,800000;22,331479;75,414408;32,146390
12,850000;22,610145;74,440051;32,566338
12,900000;22,891871;73,454997;32,990896
12,950000;23,176647;72,459278;33,420051
13,000000;23,464460;71,452937;33,853784
13,050000;23,755297;70,436026;34,292073
13,100000;24,049138;69,408609;34,734889
13,150000;24,345962;68,370761;35,182202
13,200000;24,645746;67,322567;35,633974
13,250000;24,948462;66,264120;36,090164
13,300000;25,254062;65,195586;36,550702
13,350000;25,562499;64,117136;37,015514
13,400000;25,873726;63,028931;37,484531
13,450000;26,187686;61,931166;37,957667
13,500000;26,504317;60,824068;38,434827
13,550000;26,823543;59,707893;38,915898
13,600000;27,145281;58,582934;39,400755
13,650000;27,469439;57,449513;39,889260
13,700000;27,795916;56,307985;40,381258
13,750000;28,124601;55,158738;40,876584
13,800000;28,455373;54,002191;41,375056
13,850000;28,788104;52,838796;41,876479
13,900000;29,122655;51,669037;42,380645
13,950000;29,458879;50,493430;42,887332
14,000000;29,796617;49,312527;43,396301
14,050000;30,135692;48,126950;43,907284
14,100000;30,475912;46,937372;44,419993
14,150000;30,817072;45,744505;44,934118
14,200000;31,158955;44,549108;45,449334
14,250000;31,501331;43,351989;45,965293
14,300000;31,843956;42,153999;46,481627
14,350000;32,186574;40,956037;46,997948
14,400000;32,528912;39,759048;47,513850
14,450000;32,870689;38,564026;48,028905
14,500000;33,211606;37,372007;48,542665
14,550000;33,551354;36,184077;49,054663
14,600000;33,889609;35,001366;49,564411
14,650000;34,226035;33,825053;50,071402
14,700000;34,560281;32,656361;50,575108
14,750000;34,891998;31,496510;51,075004
14,800000;35,220838;30,346721;51,570563
14,850000;35,546403;29,208382;52,061187
14,900000;35,868302;28,082861;52,546287
14,950000;36,186151;26,971500;53,025284
15,000000;36,499574;25,875615;53,497610
15,050000;36,808202;24,796496;53,962710
15,100000;37,111673;23,735408;54,420039
15,150000;37,409634;22,693587;54,869064
15,200000;37,701737;21,672247;55,309262
15,250000;37,987644;20,672572;55,740121
15,300000;38,267023;19,695722;56,161144
15,350000;38,539550;18,742831;56,571840
15,400000;38,804913;17,814989;56,971740
15,450000;39,062866;16,913057;57,360472
15,500000;39,313179;16,037837;57,737692
15,550000;39,555645;15,190052;58,103088
15,600000;39,790090;14,370316;58,456394
15,650000;40,016369;13,579131;58,797395
15,700000;40,234370;12,816888;59,125921
15,750000;40,444017;12,083857;59,441858
15,800000;40,645266;11,380189;59,745138
15,850000;40,838106;10,705922;60,035747
15,900000;41,022561;10,060975;60,313720
15,950000;41,198687;9,445152;60,579140
16,000000;41,366571;8,858143;60,832140
16,050000;41,526329;8,299549;61,072894
16,100000;41,678102;7,768875;61,301615
16,150000;41,822055;7,265541;61,518552
16,200000;41,958379;6,788884;61,723991
16,250000;42,087282;6,338175;61,918247
16,300000;42,208988;5,912628;62,101657
16,350000;42,323736;5,511413;62,274581
16,400000;42,431774;5,133656;62,437394
16,450000;42,533365;4,778445;62,590490
16,500000;42,628772;4,444855;62,734268
16,550000;42,718263;4,131947;62,869131
16,600000;42,802110;3,838776;62,995487
16,650000;42,880584;3,564392;63,113747
16,700000;42,953953;3,307855;63,224314
16,750000;43,022483;3,068242;63,327588
16,800000;43,086432;2,844642;63,423959
16,850000;43,146057;2,636165;63,513813
16,900000;43,201603;2,441948;63,597520
16,950000;43,253309;2,261158;63,675441
17,000000;43,301405;2,092988;63,747922
17,050000;43,346115;1,936662;63,815299
17,100000;43,387648;1,791440;63,877889
17,150000;43,426208;1,656615;63,935999
17,200000;43,461988;1,531511;63,989919
17,250000;43,495171;1,415487;64,039925
17,300000;43,525929;1,307939;64,086278
17,350000;43,554429;1,208292;64,129226
17,400000;43,580823;1,116003;64,169003
17,450000;43,605259;1,030565;64,205827
17,500000;43,627872;0,951497;64,239905
17,550000;43,648792;0,878348;64,271432
17,600000;43,668140;0,810698;64,300589
17,650000;43,686029;0,748151;64,327547
17,700000;43,702563;0,690339;64,352464
17,750000;43,717842;0,636915;64,375490
17,800000;43,731958;0,587559;64,396762
17,850000;43,744996;0,541971;64,416411
17,900000;43,757037;0,499871;64,434556
17,950000;43,768154;0,461000;64,451309
18,000000;43,778417;0,425117;64,466775
18,050000;43,787889;0,391996;64,481050
18,100000;43,796631;0,361430;64,494224
18,150000;43,804697;0,333226;64,506380
18,200000;43,812140;0,307204;64,517595
18,250000;43,819005;0,283198;64,527942
18,300000;43,825338;0,261055;64,537485
18,350000;43,831179;0,240631;64,546288
18,400000;43,836566;0,221796;64,554406
18,450000;43,841534;0,204427;64,561892
18,500000;43,846115;0,188411;64,568795
18,550000;43,850338;0,173643;64,575160
18,600000;43,854232;0,160028;64,581028
18,650000;43,857822;0,147476;64,586438
18,700000;43,861131;0,135905;64,591425
18,750000;43,864182;0,125239;64,596022
18,800000;43,866993;0,115407;64,600259
18,850000;43,869585;0,106345;64,604165
18,900000;43,871974;0,097993;64,607765
18,950000;43,874176;0,090294;64,611083
19,000000;43,876205;0,083200;64,614141
19,050000;43,878075;0,076661;64,616959
19,100000;43,879798;0,070635;64,619556
19,150000;43,881386;0,065083;64,621949
19,200000;43,882850;0,059966;64,624155
19,250000;43,884198;0,055250;64,626187
19,300000;43,885441;0,050905;64,628060
19,350000;43,886586;0,046901;64,629786
19,400000;43,887641;0,043212;64,631376
19,450000;43,888614;0,039813;64,632841
19,500000;43,889509;0,036680;64,634191
19,550000;43,890335;0,033794;64,635435
19,600000;43,891095;0,031135;64,636581
19,650000;43,891796;0,028685;64,637637
19,700000;43,892442;0,026428;64,638610
19,750000;43,893037;0,024348;64,639506
19,800000;43,893585;0,022431;64,640332
19,850000;43,894090;0,020666;64,641093
19,900000;43,894555;0,019039;64,641794
19,950000;43,894983;0,017541;64,642440
20,000000;43,895378;0,016160;64,643035
20,050000;43,895742;0,014888;64,643583
20,100000;43,896077;0,013716;64,644089
20,150000;43,896386;0,012636;64,644554
20,200000;43,896671;0,011641;64,644983
20,250000;43,896933;0,010725;64,645378
20,300000;43,897174;0,009880;64,645742
20,350000;43,897397;0,009102;64,646077
20,400000;43,897602;0,008386;64,646386
20,450000;43,897791;0,007725;64,646670
20,500000;43,897965;0,007117;64,646933
20,550000;43,898125;0,006557;64,647174
20,600000;43,898272;0,006040;64,647397
20,650000;43,898408;0,005565;64,647602
20,700000;43,898534;0,005127;64,647790
20,750000;43,898649;0,004723;64,647964
20,800000;43,898756;0,004351;64,648125
20,850000;43,898854;0,004008;64,648272
20,900000;43,898944;0,003693;64,648408
20,950000;43,899027;0,003402;64,648534
21,000000;43,899104;0,003134;64,648649
21,050000;43,899174;0,002887;64,648756
21,100000;43,899239;0,002660;64,648854
21,150000;43,899299;0,002450;64,648944
21,200000;43,899354;0,002257;64,649027
21,250000;43,899405;0,002080;64,649104
21,300000;43,899452;0,001916;64,649174
21,350000;43,899495;0,001765;64,649239
21,400000;43,899535;0,001626;64,649299
21,450000;43,899572;0,001498;64,649354
21,500000;43,899605;0,001380;64,649405
21,550000;43,899636;0,001271;64,649452
21,600000;43,899665;0,001171;64,649495
21,650000;43,899691;0,001079;64,649535
21,700000;43,899716;0,000994;64,649572
21,750000;43,899738;0,000916;64,649605
21,800000;43,899759;0,000844;64,649636
21,850000;43,899778;0,000777;64,649665
21,900000;43,899795;0,000716;64,649691
21,950000;43,899811;0,000660;64,649716
22,000000;43,899826;0,000608;64,649738
22,050000;43,899840;0,000560;64,649759
22,100000;43,899853;0,000516;64,649778
22,150000;43,899864;0,000475;64,649795
22,200000;43,899875;0,000438;64,649811
22,250000;43,899885;0,000403;64,649826
22,300000;43,899894;0,000371;64,649840
22,350000;43,899902;0,000342;64,649853
22,400000;43,899910;0,000315;64,649864
22,450000;43,899917;0,000290;64,649875
22,500000;43,899923;0,000268;64,649885
22,550000;43,899930;0,000246;64,649894
22,600000;43,899935;0,000227;64,649902
22,650000;43,899940;0,000209;64,649910
22,700000;43,899945;0,000193;64,649917
22,750000;43,899949;0,000178;64,649923
22,800000;43,899953;0,000164;64,649930
22,850000;43,899957;0,000151;64,649935
22,900000;43,899960;0,000139;64,649940
22,950000;43,899963;0,000128;64,649945
23,000000;43,899966;0,000118;64,649949
23,050000;43,899969;0,000109;64,649953
23,100000;43,899971;0,000100;64,649957
23,150000;43,899974;0,000092;64,649960
23,200000;43,899976;0,000085;64,649963
23,250000;43,899978;0,000078;64,649966
23,300000;43,899979;0,000072;64,649969
23,350000;43,899981;0,000066;64,649971
23,400000;43,899983;0,000061;64,649974
23,450000;43,899984;0,000056;64,649976
23,500000;43,899985;0,000052;64,649978
23,550000;43,899986;0,000048;64,649979
23,600000;43,899987;0,000044;64,649981
23,650000;43,899988;0,000041;64,649983
23,700000;43,899989;0,000037;64,649984
23,750000;43,899990;0,000034;64,649985
23,800000;43,899991;0,000032;64,649986
23,850000;43,899992;0,000029;64,649987
23,900000;43,899992;0,000027;64,649988
23,950000;43,899993;0,000025;64,649989
24,000000;43,899993;0,000023;64,649990
24,050000;43,899994;0,000021;64,649991
24,100000;43,899994;0,000019;64,649992
24,150000;43,899995;0,000018;64,649992
24,200000;43,899995;0,000016;64,649993
