cenario;modelo;X0_g_L;S0_g_L;P0_g_L;tf_h;X_final_g_L;S_final_g_L;P_final_g_L;Sconsumido_g_L;Pproduzido_g_L;Yps_aparente_g_g;Qp_g_L_h
X1;monod;0,500000;150,000000;0,000000;72,000000;42,500000;0,000000;63,000000;150,000000;63,000000;0,420000;0,875000
referencia;monod;1,000000;150,000000;0,000000;72,000000;43,000000;0,000000;63,000000;150,000000;63,000000;0,420000;0,875000
X2;monod;2,000000;150,000000;0,000000;72,000000;44,000000;0,000000;63,000000;150,000000;63,000000;0,420000;0,875000
