tempo_h;X_g_L;S_g_L;P_g_L
6,900000;3,146667;142,333332;3,220000
6,950000;3,172854;142,239807;3,259281
7,000000;3,199258;142,145508;3,298887
7,050000;3,225880;142,050429;3,338820
7,100000;3,252722;141,954563;3,379083
7,150000;3,279787;141,857905;3,419680
7,200000;3,307075;141,760447;3,460612
7,250000;3,334589;141,662184;3,501883
7,300000;3,362330;141,563108;3,543495
7,350000;3,390300;141,463213;3,585451
7,400000;3,418502;141,362492;3,627753
7,450000;3,446937;141,260939;3,670406
7,500000;3,475607;141,158547;3,713410
7,550000;3,504514;141,055308;3,756770
7,600000;3,533659;140,951217;3,800489
7,650000;3,563045;140,846266;3,844568
7,700000;3,592674;140,740449;3,889012
7,750000;3,622548;140,633757;3,933822
7,800000;3,652668;140,526185;3,979002
7,850000;3,683037;140,417724;4,024556
7,900000;3,713657;140,308368;4,070485
7,950000;3,744529;140,198109;4,116794
8,000000;3,775657;140,086941;4,163485
8,050000;3,807041;139,974855;4,210561
8,100000;3,838684;139,861844;4,258025
8,150000;3,870588;139,747901;4,305881
8,200000;3,902755;139,633018;4,354132
8,250000;3,935187;139,517188;4,402781
8,300000;3,967887;139,400402;4,451831
8,350000;4,000857;139,282654;4,501286
8,400000;4,034098;139,163934;4,551148
8,450000;4,067614;139,044236;4,601421
8,500000;4,101406;138,923551;4,652108
8,550000;4,135476;138,801872;4,703214
8,600000;4,169827;138,679190;4,754740
8,650000;4,204461;138,555498;4,806691
8,700000;4,239380;138,430786;4,859070
8,750000;4,274587;138,305048;4,911880
8,800000;4,310083;138,178274;4,965125
8,850000;4,345872;138,050456;5,018809
8,900000;4,381956;137,921586;5,072934
8,950000;4,418337;137,791655;5,127505
9,000000;4,455017;137,660655;5,182525
9,050000;4,491998;137,528577;5,237998
9,100000;4,529285;137,395412;5,293927
9,150000;4,566877;137,261153;5,350316
9,200000;4,604779;137,125789;5,407169
9,250000;4,642993;136,989312;5,464489
9,300000;4,681520;136,851714;5,522280
9,350000;4,720364;136,712984;5,580547
9,400000;4,759528;136,573115;5,639292
9,450000;4,799013;136,432096;5,698520
9,500000;4,838823;136,289918;5,758234
9,550000;4,878959;136,146573;5,818439
9,600000;4,919426;136,002051;5,879138
9,650000;4,960224;135,856342;5,940336
9,700000;5,001357;135,709438;6,002036
9,750000;5,042828;135,561327;6,064243
9,800000;5,084640;135,412001;6,126960
9,850000;5,126794;135,261450;6,190191
9,900000;5,169294;135,109663;6,253941
9,950000;5,212143;134,956632;6,318214
10,000000;5,255343;134,802346;6,383015
10,050000;5,298897;134,646796;6,448346
10,100000;5,342808;134,489970;6,514213
10,150000;5,387079;134,331859;6,580619
10,200000;5,431713;134,172453;6,647570
10,250000;5,476713;134,011741;6,715069
10,300000;5,522080;133,849713;6,783121
10,350000;5,567820;133,686358;6,851730
10,400000;5,613933;133,521666;6,920900
10,450000;5,660425;133,355626;6,990637
