cenario;modelo;X0_g_L;S0_g_L;P0_g_L;tf_h;X_final_g_L;S_final_g_L;P_final_g_L;Sconsumido_g_L;Pproduzido_g_L;Yps_aparente_g_g;Qp_g_L_h
M1;monod;1,000000;150,000000;0,000000;72,000000;43,000000;0,000000;63,000000;150,000000;63,000000;0,420000;0,875000
M2;andrews;1,000000;150,000000;0,000000;72,000000;43,900000;0,000000;64,650000;150,000000;64,650000;0,431000;0,897917
